temp,rh,so2,no2,co,pm10,pm2.5,o3,day,dow,death_total
24.8,72,16.79166667,65.32738095,0.853175,82.83463203,67.68981481,86.22222222,157,5,283
22.4,83,24.37267081,48.79045894,0.742430435,112.4669897,97.56038647,78.10101971,158,6,244
21.5,87,14.65213358,46.45589827,0.463868182,63.69606061,59.75372775,69.66666667,159,7,227
20.2,88,12.9125817,46.14149306,0.366269565,64.13199176,50.6570443,60.125,160,1,252
21.7,78,15.76639493,52.90724638,0.4189625,59.82830723,46.14520934,100.8888889,161,2,232
22,73,15.59258021,44.51203209,0.386531818,61.44917721,47.76452197,113.6666667,162,3,270
21.3,75,27.71596791,61.12477355,0.512109964,96.46302701,47.76084081,97.60565968,163,4,243
20.6,80,24.89583333,55.11979167,0.56225,104.1480072,59.47685185,80.33333333,164,5,224
21.3,83,11.17613636,31.23863636,0.292518182,53.03181818,18.98725349,83.33333333,165,6,244
23.6,87,12.04347826,36.78804348,0.401395652,56.31047431,34.74879227,121.0898589,166,7,243
26.4,82,17.07540761,64.20516304,0.596804167,79.36666321,65.29669887,174.5902404,167,1,303
30.7,66,12.76587302,49.04012346,0.574991667,88.24066545,68.16805556,182.5555556,168,2,300
32.4,60,14.05374396,56.61010467,0.5855375,89.23015769,59.89384058,144.431395,169,3,331
29.8,71,10.44853295,35.78811929,0.512445455,74.56688381,50.74004329,104.875,170,4,283
24.4,80,12.37908497,45.85620915,0.712047059,78.84755495,58.10294118,67.625,171,5,283
25.4,67,12.03030303,31.15656566,0.631731818,52.029884,45.18181818,111.5,172,6,234
26.1,73,14.89166667,57.30833333,0.684608333,80.34572627,66.64634058,131.75,173,7,243
27.9,77,16.07608696,42.42805383,0.517308696,60.04723778,49.52173913,115.9916085,174,1,259
25.6,83,11.11956522,44.84090909,0.514291304,62.86764413,42.65700483,81.64277051,175,2,256
24.4,86,31.38095238,89.75510204,1.2145,137.2820355,139.5820106,66.57142857,176,3,243
23,82,18.63510101,43.70479798,0.711559091,71.02321429,70.89090909,91.6,177,4,228
22.8,85,8.4828722,28.52657005,0.552365217,29.94765913,24.30434783,92.39017187,178,5,226
22.8,79,9.87037037,28.96296296,0.492454167,50.92451982,35.27083333,83.32821552,179,6,235
24.2,81,10.93653931,46.62318841,0.615317391,53.00274889,46.50391304,89,180,7,252
27.6,72,15.03522544,55.50966184,0.673627174,76.07165414,53.3666102,150.2857143,181,1,228
30.4,67,17.79007466,72.09178744,0.916686957,97.44800149,71.89209486,169.2766004,182,2,302
33,55,12.52613087,32.94532279,0.607840909,64.69810871,55.16852507,179,183,3,269
33.3,51,9.147123408,23.48309179,0.490926087,49.65687371,28.58695652,180.7437293,184,4,282
33.6,48,8.283333333,21.73888889,0.45878,29.60685412,17.25,176.5,185,5,271
29.3,65,15.77973576,43.68256844,0.910586594,91.36208333,59.22771739,136.3106075,186,6,259
26.8,82,19.94887279,40.45068438,0.756132428,57.29133053,53.18568841,107.1666667,187,7,270
30.7,65,33.4947484,60.46585304,0.871608696,104.7405058,75.07032037,152,188,1,265
32.8,56,18.11111111,64.934375,0.657775,91.5681191,60.20055231,177.1428571,189,2,281
33.1,54,22.47745572,48.10044283,0.689975,125.573522,94.33140646,207.5714286,190,3,253
32.5,56,30.92777778,48.63253968,0.831915,149.3876901,83.97473684,183.3745674,191,4,272
32.6,55,14.98333333,30.49206349,0.564390476,85.25595238,37.71904762,112.3634798,192,5,230
30.2,59,16.46215781,59.21417069,0.814305616,81.21848543,48.67934783,64.875,193,6,256
30.1,67,15.01932367,37.94710145,0.486717391,75.41656315,30.70869565,55.24746455,194,7,247
30.5,63,16.71476671,42.93987494,0.481586364,87.1008658,35.86623377,65.25,195,1,249
30.8,62,18.27689943,37.71528954,0.570121542,85.69407115,41.97332016,93,196,2,269
31.9,56,23.7350737,51.8859044,0.766599094,112.3827899,72.27091695,119.375,197,3,273
31.5,57,11.86931217,37.39285714,0.617666667,64.68561821,47.76190476,118.625,198,4,248
30.8,56,7.268518519,24.71354167,0.585854167,51.39806292,39.78333333,81.375,199,5,261
30.7,57,9.705094422,29.57065217,0.7283,54.94257968,37.41304348,86.25,200,6,263
30.5,64,23.647343,52.70108696,1.025126087,102.0421651,83.66521739,152.5,201,7,236
30.7,66,20.0410628,47.01630435,0.717978261,84.34375274,58.91304348,137.5,202,1,277
30.8,62,19.74868248,47.69711609,0.9346375,114.1305189,73.14135376,137.7048352,203,2,239
33.3,53,19.50716403,45.79891304,0.639930435,102.9145952,55.1916996,143.625,204,3,261
33.9,50,17.66304348,51.4673913,0.549643478,100.8727022,53.45065562,156.5,205,4,247
34.6,51,7.890172101,24.37137681,0.553213225,89.53518519,57.57789855,168.75,206,5,271
33.8,56,7.788043478,24.17934783,0.468482609,47.94923259,27.62318841,162.7845966,207,6,332
32.8,57,7.677649511,37.71051788,0.577831818,58.69946257,43.49458874,140.8983708,208,7,291
33.9,51,14.63888889,45.30092593,0.797458333,96.26247503,68.655,133,209,1,301
34.7,49,18.97643098,46.33838384,0.856168182,138.8670185,94.46818182,173.375,210,2,320
35,48,12.47167325,31.72441809,0.613865217,73.7489942,72.30869565,186.5081349,211,3,346
32.3,57,8.68015873,23.21693122,0.449561905,39.5808016,24.56666667,182,212,4,338
30,65,8.37037037,20.041939,0.427020833,41.91568323,23.25222567,120.7688956,213,5,326
30.6,64,14.89291465,49.98570853,0.888619928,110.0644969,83.87916667,70.125,214,6,277
32.2,57,23.03174603,54.3965849,0.911754545,235.3988816,115.1318182,114.125,215,7,256
30.9,63,30.54106563,61.44567901,0.823309524,241.3971964,146.0640351,126.375,216,1,279
31.7,64,35.025,70.05698529,0.728025,194.5430409,112.36,170.6619777,217,2,283
34.8,48,29.17007988,70.55432099,0.773372222,196.3356209,83.97333333,229.6273944,218,3,281
34.6,49,29.73888889,62.32222222,0.769547632,172.3826952,95.15437909,260,219,4,285
34.9,47,13.40347628,20.50584795,0.493559737,80.49825937,41.27210526,251.3044053,220,5,287
